image_path,label,split
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_101380_pitch.png,canadian,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_22168513_noise_noise_speed.png,filipino,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_23386621_noise_pitch_pitch.png,filipino,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_39896604_speed.png,scottish,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_39591543_noise_speed.png,australian,train
data/dataset/spectrograms/test/Australian_dataset___augmented_2_common_voice_en_149399_noise_speed.png,australian,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_37654585_speed_pitch.png,filipino,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_19727633_noise_pitch_noise.png,filipino,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_17369339_speed.png,india,train
data/dataset/spectrograms/test/Irish_dataset___augmented_1_common_voice_en_21222549_pitch.png,irish,test
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_32643496_pitch.png,australian,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_34149087_noise_noise.png,india,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_13689_noise_speed.png,scottish,train
data/dataset/spectrograms/test/India_dataset___augmented_1_common_voice_en_32434337_speed.png,india,test
data/dataset/spectrograms/test/Canadian_dataset___augmented_1_common_voice_en_206520_speed.png,canadian,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_1_common_voice_en_17780869_noise.png,slavic,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_22755254_noise.png,irish,train
data/dataset/spectrograms/train/India_dataset_common_voice_en_35195306.png,india,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_30608684_noise_noise.png,slavic,train
data/dataset/spectrograms/train/Irish_dataset_common_voice_en_612556.png,irish,train
data/dataset/spectrograms/test/Filipino_dataset___augmented_1_common_voice_en_187059_speed.png,filipino,test
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_17720001_pitch_speed.png,scottish,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_37462977_noise_noise.png,american,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_141362_speed.png,england,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_20323273_pitch_speed.png,filipino,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_40257271_pitch_noise.png,american,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_40942823_noise.png,american,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_636814_pitch.png,india,train
data/dataset/spectrograms/train/England_dataset_common_voice_en_125403.png,england,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_39359907_speed_noise_speed.png,slavic,train
data/dataset/spectrograms/test/Australian_dataset___augmented_1_common_voice_en_38539938_speed.png,australian,test
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_31398548_noise_speed.png,england,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_32144882_pitch_speed.png,american,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_19948688_speed_noise.png,india,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_17522_speed.png,american,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_37888024_pitch_speed.png,india,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_41047776_speed.png,american,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_32648900_pitch.png,american,train
data/dataset/spectrograms/test/England_dataset_common_voice_en_33374137.png,england,test
data/dataset/spectrograms/train/Irish_dataset_common_voice_en_22772697.png,irish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_18712870_pitch.png,irish,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_39589008_speed_noise.png,slavic,train
data/dataset/spectrograms/train/Irish_dataset_common_voice_en_497304.png,irish,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_1_common_voice_en_35130683_speed.png,slavic,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_35328182_pitch_noise.png,american,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_37037383_pitch_speed.png,american,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_30497753_noise_pitch.png,slavic,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_1_common_voice_en_38909426_noise.png,slavic,train
data/dataset/spectrograms/test/Scottish_dataset___augmented_2_common_voice_en_76530_noise_pitch.png,scottish,test
data/dataset/spectrograms/train/England_dataset_common_voice_en_31398548.png,england,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_15638_speed_pitch_speed.png,filipino,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_39253599_speed_pitch_pitch.png,slavic,train
data/dataset/spectrograms/test/Canadian_dataset___augmented_2_common_voice_en_17287699_pitch_speed.png,canadian,test
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_36745750_speed.png,american,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_18626_pitch.png,india,train
data/dataset/spectrograms/test/Canadian_dataset___augmented_2_common_voice_en_623134_speed_noise.png,canadian,test
data/dataset/spectrograms/test/Filipino_dataset_common_voice_en_187059.png,filipino,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_586145_pitch_noise_noise.png,filipino,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_39996130_pitch_pitch.png,scottish,train
data/dataset/spectrograms/test/American_dataset___augmented_1_common_voice_en_33144046_pitch.png,american,test
data/dataset/spectrograms/test/Slavic_dataset___augmented_3_common_voice_en_35885697_pitch_noise_pitch.png,slavic,test
data/dataset/spectrograms/test/Filipino_dataset___augmented_2_common_voice_en_17343577_noise_speed.png,filipino,test
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_557458_speed_noise.png,american,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_32353295_speed_speed.png,england,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_18335800_pitch_speed_pitch.png,filipino,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_30769694_noise_speed.png,england,train
data/dataset/spectrograms/test/Australian_dataset___augmented_2_common_voice_en_37438850_noise_pitch.png,australian,test
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_37983184_speed_noise.png,american,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_17297568_speed_noise.png,canadian,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_31413802_noise_noise.png,india,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_31894374_noise.png,india,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_39618643_speed_noise.png,scottish,train
data/dataset/spectrograms/test/Irish_dataset___augmented_1_common_voice_en_37948155_pitch.png,irish,test
data/dataset/spectrograms/test/Australian_dataset___augmented_1_common_voice_en_37161187_speed.png,australian,test
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_109776_pitch_pitch.png,canadian,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_134441_noise_noise.png,american,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_33316292_speed_pitch.png,india,train
data/dataset/spectrograms/train/Scottish_dataset_common_voice_en_26945631.png,scottish,train
data/dataset/spectrograms/train/American_dataset_common_voice_en_207991.png,american,train
data/dataset/spectrograms/test/Australian_dataset___augmented_2_common_voice_en_636312_speed_noise.png,australian,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_42578_speed_speed_pitch.png,filipino,train
data/dataset/spectrograms/test/Filipino_dataset___augmented_1_common_voice_en_19260940_pitch.png,filipino,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_39589008_pitch_speed_pitch.png,slavic,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_25768995_noise_speed.png,india,train
data/dataset/spectrograms/train/England_dataset_common_voice_en_112469.png,england,train
data/dataset/spectrograms/test/India_dataset___augmented_1_common_voice_en_175025_speed.png,india,test
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_3596_noise_noise.png,england,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_17772433_pitch.png,canadian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_17410561_speed_noise.png,australian,train
data/dataset/spectrograms/train/Filipino_dataset_common_voice_en_24977923.png,filipino,train
data/dataset/spectrograms/train/Canadian_dataset_common_voice_en_486710.png,canadian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_37211578_speed_noise.png,australian,train
data/dataset/spectrograms/train/India_dataset_common_voice_en_17264437.png,india,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_195381_speed_noise.png,england,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_30235832_noise_pitch.png,american,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_35098249_noise_pitch_speed.png,filipino,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_1_common_voice_en_36528129_speed.png,slavic,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_38525927_speed_speed.png,india,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_35328182_speed.png,american,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_28363036_speed_speed.png,scottish,train
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_39596733_pitch.png,australian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_37109693_noise_noise.png,australian,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_30750963_pitch_noise.png,england,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_32068279_speed_pitch.png,england,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_31189001_speed.png,canadian,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_656582_noise.png,canadian,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_31006124_pitch.png,india,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_18151143_noise_speed.png,american,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_38160769_pitch_noise.png,american,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_19948346_speed.png,irish,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_644530_pitch.png,india,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_640879_pitch.png,england,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_159493_noise_pitch.png,australian,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_37473422_speed_speed.png,slavic,train
data/dataset/spectrograms/test/England_dataset___augmented_2_common_voice_en_31909776_pitch_noise.png,england,test
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_37382171_noise.png,scottish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_591840_pitch.png,irish,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_33001317_pitch_pitch.png,australian,train
data/dataset/spectrograms/train/Canadian_dataset_common_voice_en_9443.png,canadian,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_32329732_speed.png,england,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_39590073_noise_pitch.png,canadian,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_41030883_pitch_pitch_pitch.png,slavic,train
data/dataset/spectrograms/train/India_dataset_common_voice_en_36667809.png,india,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_1_common_voice_en_41850053_speed.png,slavic,train
data/dataset/spectrograms/test/India_dataset___augmented_2_common_voice_en_32307291_pitch_noise.png,india,test
data/dataset/spectrograms/test/Filipino_dataset___augmented_3_common_voice_en_28678198_pitch_speed_speed.png,filipino,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_30620884_speed_pitch_speed.png,slavic,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_3_common_voice_en_37301173_pitch_pitch_speed.png,slavic,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_37654585_noise_pitch_noise.png,filipino,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_32734223_speed.png,american,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_25464355_pitch_noise.png,scottish,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_32638726_pitch_pitch.png,american,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_19703726_noise.png,england,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_39896604_speed_speed.png,scottish,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_18546564_pitch_pitch.png,australian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_497304_speed.png,irish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_19075004_pitch_noise.png,irish,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_75115_noise_pitch.png,england,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_36470087_noise_pitch_speed.png,slavic,train
data/dataset/spectrograms/test/American_dataset___augmented_2_common_voice_en_39602671_noise_pitch.png,american,test
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_17720001_pitch_pitch.png,scottish,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_23351037_noise_speed.png,canadian,train
data/dataset/spectrograms/test/Irish_dataset___augmented_2_common_voice_en_26975871_pitch_pitch.png,irish,test
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_37475745_speed.png,canadian,train
data/dataset/spectrograms/test/India_dataset_common_voice_en_30340960.png,india,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_42578_speed_speed.png,filipino,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_31281248_pitch_speed.png,england,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_23865886_noise_pitch_speed.png,filipino,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_36734620_pitch.png,india,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_17383438_pitch_pitch.png,australian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_19238624_noise.png,irish,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_19620068_pitch_noise_speed.png,filipino,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_39585565_noise_speed.png,australian,train
data/dataset/spectrograms/test/Filipino_dataset___augmented_2_common_voice_en_656288_noise_pitch.png,filipino,test
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_27775208_noise.png,scottish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_438702_noise_pitch.png,irish,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_532905_pitch_speed.png,scottish,train
data/dataset/spectrograms/train/Filipino_dataset_common_voice_en_579128.png,filipino,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_22262743_pitch.png,india,train
data/dataset/spectrograms/test/Irish_dataset___augmented_2_common_voice_en_36834944_pitch_speed.png,irish,test
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_33110446_speed.png,england,train
data/dataset/spectrograms/train/American_dataset_common_voice_en_78608.png,american,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_18151143_speed.png,american,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_22936684_speed.png,canadian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_220473_noise_speed.png,australian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_39585985_speed_noise.png,australian,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_31819605_speed.png,india,train
data/dataset/spectrograms/test/Filipino_dataset___augmented_2_common_voice_en_187059_pitch_speed.png,filipino,test
data/dataset/spectrograms/test/Slavic_dataset___augmented_3_common_voice_en_33740536_speed_pitch_noise.png,slavic,test
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_557920_pitch_noise.png,australian,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_3_common_voice_en_36650153_pitch_noise_pitch.png,slavic,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_1_common_voice_en_35130683_pitch.png,slavic,train
data/dataset/spectrograms/test/American_dataset_common_voice_en_29890301.png,american,test
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_19182187_noise_speed.png,irish,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_151208_pitch_noise.png,american,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_37859513_speed_speed.png,american,train
data/dataset/spectrograms/train/Slavic_dataset_common_voice_en_37473422.png,slavic,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_597622_noise_speed.png,scottish,train
data/dataset/spectrograms/train/Australian_dataset_common_voice_en_489155.png,australian,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_39585233_pitch_noise_noise.png,slavic,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_20253689_noise_pitch.png,australian,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_88163_noise_speed.png,american,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_36925030_noise_pitch.png,slavic,train
data/dataset/spectrograms/test/Australian_dataset___augmented_2_common_voice_en_149399_noise_noise.png,australian,test
data/dataset/spectrograms/train/Irish_dataset_common_voice_en_25260813.png,irish,train
data/dataset/spectrograms/test/England_dataset___augmented_2_common_voice_en_582771_pitch_pitch.png,england,test
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_17369729_speed.png,australian,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_34028073_pitch_speed.png,england,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_597622_noise.png,scottish,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_17410561_pitch_speed.png,australian,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_33565535_speed.png,canadian,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_37675223_speed_pitch.png,slavic,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_36304616_speed_noise.png,scottish,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_34417_speed.png,india,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_75699_speed.png,american,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_17812357_noise_pitch.png,irish,train
data/dataset/spectrograms/test/India_dataset___augmented_1_common_voice_en_35194177_speed.png,india,test
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_39582932_noise_pitch.png,australian,train
data/dataset/spectrograms/test/American_dataset___augmented_1_common_voice_en_36434776_pitch.png,american,test
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_155430_pitch_speed.png,american,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_38458960_pitch.png,india,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_38909426_noise_noise_noise.png,slavic,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_37073528_pitch.png,england,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_17287657_noise.png,irish,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_39575841_speed_noise.png,canadian,train
data/dataset/spectrograms/test/American_dataset___augmented_2_common_voice_en_32778_speed_speed.png,american,test
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_37732910_noise_speed.png,india,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_39561679_speed.png,scottish,train
data/dataset/spectrograms/test/India_dataset___augmented_1_common_voice_en_36852111_noise.png,india,test
data/dataset/spectrograms/train/Australian_dataset_common_voice_en_31038171.png,australian,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_519177_speed.png,american,train
data/dataset/spectrograms/train/American_dataset_common_voice_en_563994.png,american,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_109348_pitch_speed.png,india,train
data/dataset/spectrograms/test/India_dataset_common_voice_en_30313297.png,india,test
data/dataset/spectrograms/test/England_dataset_common_voice_en_582771.png,england,test
data/dataset/spectrograms/test/Slavic_dataset___augmented_3_common_voice_en_33740536_noise_speed_pitch.png,slavic,test
data/dataset/spectrograms/train/Australian_dataset_common_voice_en_20929070.png,australian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_37211578_speed_speed.png,australian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_19024457_speed_speed.png,irish,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_18335800_pitch_noise_pitch.png,filipino,train
data/dataset/spectrograms/train/Irish_dataset_common_voice_en_22148092.png,irish,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_575_speed_pitch.png,american,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_99414_pitch.png,canadian,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_557458_noise_pitch.png,american,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_209718_noise.png,england,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_32593388_pitch_speed.png,american,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_30510236_speed_noise_noise.png,slavic,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_33718724_noise_noise.png,canadian,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_619910_noise_speed.png,canadian,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_17395276_pitch.png,england,train
data/dataset/spectrograms/train/American_dataset_common_voice_en_30672981.png,american,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_662356_speed_noise.png,filipino,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_3_common_voice_en_35722190_noise_noise_speed.png,slavic,test
data/dataset/spectrograms/train/India_dataset_common_voice_en_32833626.png,india,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_18151143_noise_noise.png,american,train
data/dataset/spectrograms/train/Australian_dataset_common_voice_en_620055.png,australian,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_128371_noise.png,canadian,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_167966_noise_noise.png,american,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_37029634_speed_pitch_speed.png,slavic,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_1_common_voice_en_37277733_pitch.png,slavic,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_23386621_noise_pitch_noise.png,filipino,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_548350_noise_speed.png,filipino,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_18386972_pitch_noise.png,india,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_37799327_speed.png,india,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_19024457_pitch.png,irish,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_1_common_voice_en_25729265_pitch.png,filipino,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_38069663_pitch_noise.png,england,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_17639434_pitch_speed.png,india,train
data/dataset/spectrograms/train/Australian_dataset_common_voice_en_32916892.png,australian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_17252593_noise_pitch.png,irish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_17576768_speed_pitch.png,irish,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_42578_pitch_noise.png,filipino,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_18151143_noise_pitch.png,american,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_36827097_noise_pitch.png,filipino,train
data/dataset/spectrograms/test/Filipino_dataset_common_voice_en_19260940.png,filipino,test
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_40257271_noise_pitch.png,american,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_17483416_pitch_noise.png,canadian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_25107900_pitch.png,irish,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_35162181_noise.png,england,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_37365993_speed.png,canadian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_37787029_noise.png,australian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_34917055_pitch_pitch.png,irish,train
